"Old_Name","New_Name","Date_Time",,,
"2021-11-28 14_03_51-LiveSession - upGrad.jpg","2021-11-28-14_03_51-LiveSession-upGrad.jpg","2021-11-28-14","- image: 2021-11-28-14_03_51-LiveSession-upGrad.jpg",24,"- image: 2021-11-28-14_03_51-LiveSession-upGrad.jpg"
"2021-11-28 16_36_33-LiveSession - upGrad.jpg","2021-11-28-16_36_33-LiveSession-upGrad.jpg","2021-11-28-16","- image: 2021-11-28-16_36_33-LiveSession-upGrad.jpg",25,"- image: 2021-11-28-16_36_33-LiveSession-upGrad.jpg"
"2021-12-05 14_16_15-LiveSession - upGrad.jpg","2021-12-05-14_16_15-LiveSession-upGrad.jpg","2021-12-05-14","- image: 2021-12-05-14_16_15-LiveSession-upGrad.jpg",26,"- image: 2021-12-05-14_16_15-LiveSession-upGrad.jpg"
"2021-12-05 16_47_51-LiveSession - upGrad.jpg","2021-12-05-16_47_51-LiveSession-upGrad.jpg","2021-12-05-16","- image: 2021-12-05-16_47_51-LiveSession-upGrad.jpg",27,"- image: 2021-12-05-16_47_51-LiveSession-upGrad.jpg"
"2021-12-05 16_47_58-LiveSession - upGrad.jpg","2021-12-05-16_47_58-LiveSession-upGrad.jpg","2021-12-05-16","- image: 2021-12-05-16_47_58-LiveSession-upGrad.jpg",28,"- image: 2021-12-05-16_47_58-LiveSession-upGrad.jpg"
"2021-12-18 14_03_29-LiveSession - upGrad.jpg","2021-12-18-14_03_29-LiveSession-upGrad.jpg","2021-12-18-14","- image: 2021-12-18-14_03_29-LiveSession-upGrad.jpg",29,"- image: 2021-12-18-14_03_29-LiveSession-upGrad.jpg"
"2021-12-18 17_40_54-LiveSession - upGrad.jpg","2021-12-18-17_40_54-LiveSession-upGrad.jpg","2021-12-18-17","- image: 2021-12-18-17_40_54-LiveSession-upGrad.jpg",30,"- images: - image: 2021-12-18-17_40_54-LiveSession-upGrad.jpg"
"2021-12-19 14_06_11-LiveSession - upGrad.jpg","2021-12-19-14_06_11-LiveSession-upGrad.jpg","2021-12-19-14","- image: 2021-12-19-14_06_11-LiveSession-upGrad.jpg",31,"- image: 2021-12-19-14_06_11-LiveSession-upGrad.jpg"
"2021-12-19 14_06_16-LiveSession - upGrad.jpg","2021-12-19-14_06_16-LiveSession-upGrad.jpg","2021-12-19-14","- image: 2021-12-19-14_06_16-LiveSession-upGrad.jpg",32,"- image: 2021-12-19-14_06_16-LiveSession-upGrad.jpg"
"2021-12-19 15_47_57-LiveSession - upGrad.jpg","2021-12-19-15_47_57-LiveSession-upGrad.jpg","2021-12-19-15","- image: 2021-12-19-15_47_57-LiveSession-upGrad.jpg",33,"- image: 2021-12-19-15_47_57-LiveSession-upGrad.jpg"
"2021-12-19 15_48_05-LiveSession - upGrad.jpg","2021-12-19-15_48_05-LiveSession-upGrad.jpg","2021-12-19-15","- image: 2021-12-19-15_48_05-LiveSession-upGrad.jpg",34,"- image: 2021-12-19-15_48_05-LiveSession-upGrad.jpg"
"2021-12-19 16_43_56-LiveSession - upGrad.jpg","2021-12-19-16_43_56-LiveSession-upGrad.jpg","2021-12-19-16","- image: 2021-12-19-16_43_56-LiveSession-upGrad.jpg",35,"- image: 2021-12-19-16_43_56-LiveSession-upGrad.jpg"
"2021-12-25 11_17_31-LiveSession - upGrad.jpg","2021-12-25-11_17_31-LiveSession-upGrad.jpg","2021-12-25-11","- image: 2021-12-25-11_17_31-LiveSession-upGrad.jpg",36,"- image: 2021-12-25-11_17_31-LiveSession-upGrad.jpg"
"2021-12-25 12_37_36-LiveSession - upGrad.jpg","2021-12-25-12_37_36-LiveSession-upGrad.jpg","2021-12-25-12","- image: 2021-12-25-12_37_36-LiveSession-upGrad.jpg",37,"- image: 2021-12-25-12_37_36-LiveSession-upGrad.jpg"
"2021-12-25 13_57_50-LiveSession - upGrad.jpg","2021-12-25-13_57_50-LiveSession-upGrad.jpg","2021-12-25-13","- image: 2021-12-25-13_57_50-LiveSession-upGrad.jpg",38,"- image: 2021-12-25-13_57_50-LiveSession-upGrad.jpg"
"2021-12-25 13_57_57-LiveSession - upGrad.jpg","2021-12-25-13_57_57-LiveSession-upGrad.jpg","2021-12-25-13","- image: 2021-12-25-13_57_57-LiveSession-upGrad.jpg",39,"- image: 2021-12-25-13_57_57-LiveSession-upGrad.jpg"
"2021-12-26 13_42_22-LiveSession - upGrad.jpg","2021-12-26-13_42_22-LiveSession-upGrad.jpg","2021-12-26-13","- image: 2021-12-26-13_42_22-LiveSession-upGrad.jpg",40,"- image: 2021-12-26-13_42_22-LiveSession-upGrad.jpg"
"2021-12-26 13_42_36-LiveSession - upGrad.jpg","2021-12-26-13_42_36-LiveSession-upGrad.jpg","2021-12-26-13","- image: 2021-12-26-13_42_36-LiveSession-upGrad.jpg",41,"- image: 2021-12-26-13_42_36-LiveSession-upGrad.jpg"
"2021-12-26 16_43_23-LiveSession - upGrad.jpg","2021-12-26-16_43_23-LiveSession-upGrad.jpg","2021-12-26-16","- image: 2021-12-26-16_43_23-LiveSession-upGrad.jpg",42,"- image: 2021-12-26-16_43_23-LiveSession-upGrad.jpg"
"2022-01-01 11_23_53-LiveSession - upGrad.jpg","2022-01-01-11_23_53-LiveSession-upGrad.jpg","2022-01-01-11","- image: 2022-01-01-11_23_53-LiveSession-upGrad.jpg",43,"- image: 2022-01-01-11_23_53-LiveSession-upGrad.jpg"
"2022-01-01 11_32_35-LiveSession - upGrad.jpg","2022-01-01-11_32_35-LiveSession-upGrad.jpg","2022-01-01-11","- image: 2022-01-01-11_32_35-LiveSession-upGrad.jpg",44,"- image: 2022-01-01-11_32_35-LiveSession-upGrad.jpg"
"2022-01-01 14_00_09-LiveSession - upGrad.jpg","2022-01-01-14_00_09-LiveSession-upGrad.jpg","2022-01-01-14","- image: 2022-01-01-14_00_09-LiveSession-upGrad.jpg",45,"- images: - image: 2022-01-01-14_00_09-LiveSession-upGrad.jpg"
"2022-01-01 14_00_16-LiveSession - upGrad.jpg","2022-01-01-14_00_16-LiveSession-upGrad.jpg","2022-01-01-14","- image: 2022-01-01-14_00_16-LiveSession-upGrad.jpg",46,"- image: 2022-01-01-14_00_16-LiveSession-upGrad.jpg"
"2022-01-01 18_51_49-LiveSession - upGrad.jpg","2022-01-01-18_51_49-LiveSession-upGrad.jpg","2022-01-01-18","- image: 2022-01-01-18_51_49-LiveSession-upGrad.jpg",47,"- image: 2022-01-01-18_51_49-LiveSession-upGrad.jpg"
